Version,PartPrefix,PartBase,PartSuffix,PartRouteNumber,PartRouteStage,TriggerType,Strategy,TagID,ProductionDate,OutOfProductionDate,GeneralInstructions,PlacardInstructions,ExternalSegments,OverShipmentsAllowed,PartialShipmentsAllowed,RequiredDetailShipmentInformation,Hold,Archived,RequestPutAway
4.00.00v,FPLA,6A886,CC,24067,Production,Manual,ReorderPoint,,11/25/16 18:23:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,N8A2,2K004,AA,24073,Production,Manual,ReorderPoint,,11/26/16 18:29:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GX73,9H450,AA,24077,Production,Manual,ReorderPoint,,11/26/16 18:30:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GX73,3B438,BA,24083,Production,Manual,ReorderPoint,,11/28/16 18:35:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,N8A2,2K005,AA,24095,Production,Manual,ReorderPoint,,11/26/16 18:43:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4.00.00v,HK83,10K845,BB,24110,Production,Manual,ReorderPoint,,11/26/16 18:54:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,9X2Q,6K733,JB,24483,Production,Manual,ReorderPoint,,11/26/16 06:54:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,HPLA,18D334,BA,24506,Production,Manual,ReorderPoint,,11/26/16 15:17:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,LK52,18D283,AA,24514,Production,Manual,ReorderPoint,,11/26/16 14:40:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GX73,2B511,AA,24530,Production,Manual,ReorderPoint,,11/26/16 18:05:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,21452,AB,24583,Production,Manual,ReorderPoint,,11/26/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,5H22,7N840,AA,24588,Production,Manual,ReorderPoint,,11/26/16 06:34:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,40406,BB,24600,Production,Manual,ReorderPoint,,1/23/19 07:43:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,40406,BB,24602,Production,Manual,ReorderPoint,,11/26/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
